Scenario ID,Scenario Name,Symbol,Sector,Industry,Total Revenue,MarketCap,Imputed KPI Count,Imputed KPI Share
technology_revenue_25m,Technology companies with revenue >= $25M,AXIL,Technology,Consumer Electronics,26257522.0,46292300.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,BKTI,Technology,Communication Equipment,86139000.0,318256832.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,CHOW,Technology,Software - Infrastructure,251216649.0,12790596.0,1,0.125
technology_revenue_25m,Technology companies with revenue >= $25M,CTM,Technology,Information Technology Services,52866001.0,81431616.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,EXOD,Technology,Software - Infrastructure,121551000.0,207388368.0,1,0.125
technology_revenue_25m,Technology companies with revenue >= $25M,INTT,Technology,Semiconductor Equipment & Materials,113825000.0,213850464.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,INUV,Technology,Software - Application,86209305.0,24899108.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,MPTI,Technology,Electronic Components,54417000.0,378904128.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,MRT,Technology,Software - Application,39241487.0,169309280.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,TRT,Technology,Semiconductor Equipment & Materials,36473000.0,135812208.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,WYY,Technology,Information Technology Services,150545364.0,107572528.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AAOI,Technology,Communication Equipment,455715000.0,13562633216.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AAPL,Technology,Consumer Electronics,416161000000.0,4589945880576.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ACIW,Technology,Software - Infrastructure,1759782000.0,4310450688.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ACLS,Technology,Semiconductor Equipment & Materials,839048000.0,4780657664.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ACMR,Technology,Semiconductor Equipment & Materials,901309000.0,6417507328.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ADBE,Technology,Software - Application,23769000000.0,97590050816.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ADEA,Technology,Software - Application,443386000.0,2999990016.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ADI,Technology,Semiconductors,11019707000.0,204094341120.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ADP,Technology,Software - Application,20560900000.0,87885578240.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ADSK,Technology,Software - Application,7206000000.0,50875445248.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ADTN,Technology,Communication Equipment,1083807000.0,1370487808.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AEHR,Technology,Semiconductor Equipment & Materials,58968000.0,3145010688.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AEYE,Technology,Software - Application,40311000.0,95949424.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AGMH,Technology,Computer Hardware,32044575.0,3126546.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AGYS,Technology,Software - Application,319312000.0,2327126784.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AIOT,Technology,Software - Infrastructure,362515000.0,484271680.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AIP,Technology,Semiconductors,70579000.0,1704669568.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AIRG,Technology,Communication Equipment,51779000.0,91899408.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AKAM,Technology,Software - Infrastructure,4208175000.0,20809021440.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALAB,Technology,Semiconductors,852525000.0,59850510336.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALAR,Technology,Software - Infrastructure,40755000.0,74209400.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALGM,Technology,Semiconductors,890096000.0,9515964416.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALKT,Technology,Software - Application,443639000.0,1882467328.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALLT,Technology,Software - Infrastructure,101993000.0,388449408.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALNT,Technology,Electronic Components,554478000.0,1267769728.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALOT,Technology,Computer Hardware,150515000.0,117700456.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,ALRM,Technology,Software - Application,1011187000.0,2181211648.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AMAT,Technology,Semiconductor Equipment & Materials,28368000000.0,357027676160.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AMBA,Technology,Semiconductor Equipment & Materials,390702000.0,4028238592.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AMBR,Technology,Software - Infrastructure,66089000.0,151783152.0,1,0.125
technology_revenue_25m,Technology companies with revenue >= $25M,AMD,Technology,Semiconductors,34639000000.0,844797902848.0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,AMPG,Technology,Communication Equipment,25195930.0,119852528.0,0,0.0
